"","prod_name","title","reviewer","review","date","ratings","type_of_purchase"
"36","AUTOMET Womens 2 Piece Outfits Lounge Matching Sets Two Piece Linen Shorts Crop Tops 2023 Trendy Clothes Summer Vacation Set","recommend with a few caveats","Jenn H","I'm a pretty basic medium, maybe a small in some things. I got a M in this and I wish I could have gotten a large in the pants and a small in the top. The top's arm holes are pretty big which means my bra is visible under the arms. The pants (even though they stretch at the back singe) are still a little tight. I'm keeping it because neither of those things are bad enough to send back. The color is GORGEOUS. the material is nice. I would recommend this unless you're a very different size on top/bottom then I think it might be a hard to find the right fit/size.","Reviewed in Canada on 14 July 2023","4.0 out of 5 stars","Verified Purchase"
"37","AUTOMET Womens 2 Piece Outfits Lounge Matching Sets Two Piece Linen Shorts Crop Tops 2023 Trendy Clothes Summer Vacation Set","Versatile Outfit","Amazon Customer","I ordered this two piece outfit for my honeymoon! I absolutely loved it. I really liked that since it was a 2-piece set I could wear the shirt with different bottoms and the bottoms with a different top. The top is true to size and has a comfortable amount of stretch. The shorts are the reason this didn't get 5 stars. The shorts close with a side zipper and don't have much stretch so it's a little difficult to close; however once you get them closed they are comfortable you just have to yank it a little bit first.","Reviewed in the United States on 10 March 2023","5.0 out of 5 stars","Verified Purchase"
"38","AUTOMET Womens 2 Piece Outfits Lounge Matching Sets Two Piece Linen Shorts Crop Tops 2023 Trendy Clothes Summer Vacation Set","Sizing is not as stated, very small. Medium fit my grandaughter who is a size 2 xsmall","Amazon Customer","Nice set, looking forward to receive and was disappointed it was so small, glad my grandaughter liked it and fit her perfectly ( she is a size 2-xsmall, I am size 7- medium","Reviewed in the United States on 20 June 2023","4.0 out of 5 stars","Verified Purchase"
"39","AUTOMET Womens 2 Piece Outfits Lounge Matching Sets Two Piece Linen Shorts Crop Tops 2023 Trendy Clothes Summer Vacation Set","Cute, yet zipper problem","JessHaymaker","So the style is really cute and comfort except the zipper. I do not have a flat stomach, nor flat breast. I first attempted to just zip it up but after I caught my side skin in the zipper I looked at it and held it away from my skin, ouch! had to hold down my breast to see zipper, not do that again. But to unzip it I had to look again to get it down little difficult, little frustrated. Thank goodness I did not have to urgently pee. I did not think I’m that far off from the normal shape women.","Reviewed in the United States on 17 July 2023","4.0 out of 5 stars","Verified Purchase"
"40","AUTOMET Womens 2 Piece Outfits Lounge Matching Sets Two Piece Linen Shorts Crop Tops 2023 Trendy Clothes Summer Vacation Set","Inconsistent Sizing:  Too S and too L","Erika Genova","I purchased two of each size as I've learned through experience from China!  I kept the pink M; peach M; red S; green S.  One has to order two sizes, and I should say the peach shorts came with a BROKEN zipper; the others did not, thank goodness.  The zipper is not needed in these shorts in sizes S or M.  Overall, I love the price, styling and comfort of this two-piece shorts outfit.","Reviewed in Canada on 20 August 2023","4.0 out of 5 stars","Verified Purchase"
"41","AUTOMET Womens 2 Piece Outfits Lounge Matching Sets Two Piece Linen Shorts Crop Tops 2023 Trendy Clothes Summer Vacation Set","Perfect but shrinks","Allison .Mace","This set was absolutely perfect to wear during summer walking around in Mexico it was cute but breathable and very comfortable","Reviewed in Australia on 8 February 2024","3.6 out of 5 stars","Verified Purchase"
"42","AUTOMET Womens 2 Piece Outfits Lounge Matching Sets Two Piece Linen Shorts Crop Tops 2023 Trendy Clothes Summer Vacation Set","Nice set but hard to size","Dutchy","I had originally ordered a size small in this and it shrunk like crazy in the wash - even with cold water and air drying it… so I overcompensated I guess by buying a large but the cut was wayyy to big so I messed up again. I’m normally an XS/S but apparently for this product am an M. 5’3” 125 lbs petite build for reference. Material feels nice but is not stretchy except at the waistband where there’s an elastic band. Cute set if you can pick the right size","Reviewed in Australia on 26 February 2024","5.0 out of 5 stars","Verified Purchase"
"43","AUTOMET Womens 2 Piece Outfits Lounge Matching Sets Two Piece Linen Shorts Crop Tops 2023 Trendy Clothes Summer Vacation Set","Great Pair!","JORDAN M.","I love that I look put-together without even trying in this two piece outfit! It fits pretty well, the only issue is that sometimes the band is a little tight (everything else fits perfectly). My favorite part is that it is not at all see-through! Definitely a great outfit that is true to size and true to color.","Reviewed in the United States on 26 October 2023","1.0 out of 5 stars","Verified Purchase"
"44","AUTOMET Womens 2 Piece Outfits Lounge Matching Sets Two Piece Linen Shorts Crop Tops 2023 Trendy Clothes Summer Vacation Set","I wanna give this 5 stars","Amazon Customer","I loved this and wore it multiple times since I bought it a couple months ago but it’s already started to lose its color. Just straight going from green to white.","Reviewed in the United States on 8 June 2023","4.0 out of 5 stars","Verified Purchase"
"45","AUTOMET Womens 2 Piece Outfits Lounge Matching Sets Two Piece Linen Shorts Crop Tops 2023 Trendy Clothes Summer Vacation Set","Not as disturbed","Elizabeth Roberts","I ordered an xl and it looked even smaller than a medium. Too small and quality ain't all that. Will be returning","Reviewed in the United States on 24 August 2023","4.0 out of 5 stars","Verified Purchase"
"46","AUTOMET Womens 2 Piece Outfits Lounge Matching Sets Two Piece Linen Shorts Crop Tops 2023 Trendy Clothes Summer Vacation Set","Beware! Cute but shrinks!","Torey Bennett","I loved this set! I got a large and it fit perfectly, loose fit, not too short. Comfy and cute. BUT I machine washed cold and hung dry (as the tag directed) and both pieces shrank!!! Now the shirt is a crop top and the shorts still fit but are shorter than I wanted. Super bummed.","Reviewed in the United States on 20 November 2023","4.0 out of 5 stars","Verified Purchase"
"47","AUTOMET Womens 2 Piece Outfits Lounge Matching Sets Two Piece Linen Shorts Crop Tops 2023 Trendy Clothes Summer Vacation Set","Not 100% linen","Amazon Customer","I bought this because it said it was linen, only 30% is linen the rest is rayon, I like natural fabrics that breathe in hot weather.The top is skimpy and short like a crop top which I would like better if it were longerOverall nice fit, design quality.I’m getting on other colorsGood buyWish the top was longer though","Reviewed in Canada on 4 July 2023","3.0 out of 5 stars","Verified Purchase"
"48","AUTOMET Womens 2 Piece Outfits Lounge Matching Sets Two Piece Linen Shorts Crop Tops 2023 Trendy Clothes Summer Vacation Set","Cute but runs big","Dylan","I was conflicted if I like it or not. It runs big. The top fit me perfect, but the bottom was a bit large. I ended up keeping it, because it still looked cute and it was on a limited deal.","Reviewed in the United States on 20 July 2023","3.0 out of 5 stars","Verified Purchase"
"49","AUTOMET Womens 2 Piece Outfits Lounge Matching Sets Two Piece Linen Shorts Crop Tops 2023 Trendy Clothes Summer Vacation Set","Be careful in the wash","kitzia nin poniatowska","I love this but it shrunk a little when washing. I dozed up and it justtttt fit. Just read carefully for sizing. I would size up if you have issues with midsection like I do.But overall great purchase. I have bought already more in other colors.","Reviewed in the United States on 11 June 2023","4.0 out of 5 stars","Verified Purchase"
"50","AUTOMET Womens 2 Piece Outfits Lounge Matching Sets Two Piece Linen Shorts Crop Tops 2023 Trendy Clothes Summer Vacation Set","Almost but not","kitzia nin poniatowska","The top was a too short for me.","Reviewed in the United States on 18 August 2023","4.0 out of 5 stars","Verified Purchase"
"51","AUROLA","ME ENCANTARON","TT","The shorts are well fitted with a tight waistband to cinch the waist. The material is super soft and comfortable. Would recommend!","Reviewed in Australia on 30 July 2023","4.4 out of 5 stars","Verified Purchase"
"52","AUROLA","Best shorts ever!!","Shorts are okay :/","Lowkey shouldn’t have sized down but still happy with them.","Reviewed in Australia on 9 November 2023","5.0 out of 5 stars","Verified Purchase"
"53","AUROLA",NA,"TT","The fabric is quite thick, butt scrunch does the job perfectly, and love this colour.","Reviewed in Australia on 30 July 2023","3.0 out of 5 stars","Verified Purchase"
"54","AUROLA",NA,"Lucy","amazing quality so comfortable and cute but unfortunately they do ride up apart from that i’ve had no problems. I’m 5’5ft around 70kg and got a medium fits perfect !","Reviewed in Australia on 13 November 2023","5.0 out of 5 stars","Verified Purchase"
"55","AUROLA",NA,"SUNNY","The pant is true to the size. Perfect for my need and highly recommended this seller","Reviewed in Australia on 28 August 2023","5.0 out of 5 stars","Verified Purchase"
"56","AUROLA",NA,"aimee","Fabric is nice and soft, fits well.Only downside is the waist and legs rolls down/up during work out so hesitant to wear them.Considering they were $50 I’d expect them to somewhat stay in place.I got a size L - I am 5.2 and 63 kgs","Reviewed in Australia on 14 August 2023","5.0 out of 5 stars","Verified Purchase"
"57","AUROLA",NA,"Dewi Blythe","The first time I wore these the seem holding the waist-band came undone, its gotten worse since. Disappointed in the quality given the price.","Reviewed in Australia on 6 May 2023","4.0 out of 5 stars","Verified Purchase"
"58","AUROLA",NA,"Shorts are okay :/","Was hesitant to buy these shorts but I’m so glad I did. The material is smooth and nice and fits so well on my body. Squat proof for me 👌 I was in between XS and S and got a S","Reviewed in Australia on 9 November 2023","5.0 out of 5 stars","Verified Purchase"
"59","AUROLA",NA,"Dianne Page","Súper cómodos, los recomiendo mucho sin duda los volveré a comprar son de buena calidad y únicos","Reviewed in Australia on 24 January 2024","3.0 out of 5 stars","Verified Purchase"
"60","AUROLA",NA,"Dianne Page","I've been on the hunt for the ideal pair of gym shorts, and I've finally found them with these women's gym shorts. These shorts have become an essential part of my workout wardrobe, and I can't say enough good things about them.First and foremost, these shorts are incredibly comfortable. The fabric is soft and stretchy, which makes them perfect for all types of workouts, from intense HIIT sessions to yoga and everything in between. They move with me, allowing for a full range of motion without any restrictions.One of the standout features for me is the moisture-wicking technology. I tend to work up a sweat during my workouts, and these shorts do an excellent job of keeping me dry and comfortable. I never have to worry about feeling sticky or uncomfortable, no matter how intense my workout gets.The fit is just right. These shorts are snug enough to stay in place during runs and squats but not so tight that they feel constricting. The waistband is comfortable and doesn't dig in, which is a huge plus. Plus, they come in various lengths and styles, so you can find the perfect fit for your body type and personal preference.I also appreciate the stylish design. These shorts look great both in the gym and for casual wear. The color options are trendy, and the quality is evident. Even after several washes, they still look as good as new.The durability of these shorts is impressive. They have held up well to frequent wear and washing, showing no signs of wear and tear. This longevity is a testament to their quality.In summary, these women's gym shorts are a fantastic addition to any workout wardrobe. They strike the perfect balance between comfort, performance, and style. I highly recommend them to anyone looking for shorts that can keep up with their active lifestyle. These shorts have truly become a game-changer in my fitness routine.","Reviewed in Australia on 23 June 2023","3.0 out of 5 stars",NA
"61","AUROLA","Great dfyne dupe","TT","5’2 150lbs and got a medium. Could’ve gone small because the thighs aren’t super compressed like dfyne. They’re a buttery soft material and move with you. Super cute! Don’t have a great pic lol","Reviewed in Australia on 30 July 2023","4.4 out of 5 stars","Verified Purchase"
"62","AUROLA","Terrible quality in color red","Shorts are okay :/","I bought the brown color in exactly same tights a fee months ago, this red one I just received is far from that brown one’s quality, see through and rolling up towards my crotch while walking even, horrible. Will need ti return this unfortunately","Reviewed in Australia on 9 November 2023","5.0 out of 5 stars","Verified Purchase"
"63","AUROLA","Great Quality and Fit","Emily Knecht","I’ve been looking for a good gym short that is flattering and fits comfortably and this is the best one hands down. The material is thick so you don’t have to worry about anything being see through. There’s no front seam which alleviates the concern about unflattering front appearance. The material is soft and smooth. The detail on the back is flattering and comfortable unlike some shorts I’ve tried that have way too much of a scrunch and the way it’s shaped is uncomfortable. Definitely worth the purchase and I’ve bought many.","Reviewed in Canada on 23 February 2024","3.0 out of 5 stars","Verified Purchase"
"64","AUROLA","blick dicht!","Emily Knecht","super leggings!! man sieht nichts durch und der scrunch ist auch nicht störend. ich trage eigentlich xs wegen meiner taille aber weil ich an den beinen erwss dicker bin habe ich s genommen und das passt perfekt, der stoff kratzt nicht es ist super bequem!!","Reviewed in the Netherlands on 27 December 2023","5.0 out of 5 stars","Verified Purchase"
"65","AUROLA","It passed the vibe check❤️","Melis Basaraner","The fit, comfort, color. She is the moment!! I went with a size Small and it worked out. They make my legs and butt look so good! They do ride up a tiny bit here and there, but I don’t mind tbh. I just tug down in between sets. I recommend the buy, they’re popular for a reason","Reviewed in Canada on 1 December 2023","5.0 out of 5 stars","Verified Purchase"
"66","AUROLA","Aurola me ve la cara","Anna","La calidad es excelente en vdd los amo pero lo pedí en xs y me quedo pequeño por lo que lo pedí en chico y al llegarme me di cuenta que me quedaba pequeño lo compré con el xs y es el mismo me parece muy mala jugada de su parte solo la bolsa dice otra medida pero es mentira","Reviewed in Germany on 3 February 2023","1.0 out of 5 stars","Verified Purchase"
"67","AUROLA","Leider nach 4 Monate Scrunch während des Trainings gerissen","Zehra Camlitepe","Zuerst war ich sehr zufrieden mit der kurzen Hose und habe sogar ein anderes Modell derselben Marke bestellt.Leider ist nach 4 Monaten Nutzung die Naht des Scrunch am Po im Gym gerissen, sodass ich mein Training abbrechen und nach Hause gehen musste.Für diesen Preis habe ich definitiv eine längere Haltbarkeit erwartet.","Reviewed in the United States on 21 February 2024","5.0 out of 5 stars","Verified Purchase"
