"","title","author","subject","abstract","date"
"15","a deep learning method for classification of biophilic artworks","purna kar, jordan j. bird, yangang xing, alexander sumich, andrew knight, ahmad lotfi, benedict carpenter van barthold","computer vision and pattern recognition","biophilia is an innate love for living things and nature itself that has been associated with a positive impact on mental health and well-being. this study explores the application of deep learning methods for the classification of biophilic artwork, in order to learn and explain the different biophilic characteristics present in a visual representation of a painting. using the concept of biophilia that postulates the deep connection of human beings with nature, we use an artificially intelligent algorithm to recognise the different patterns underlying the biophilic features in an artwork. our proposed method uses a lower-dimensional representation of an image and a decoder model to extract salient features of the image of each biophilic trait, such as plants, water bodies, seasons, animals, etc., based on learnt factors such as shape, texture, and illumination. the proposed classification model is capable of extracting biophilic artwork that not only helps artists, collectors, and researchers studying to interpret and exploit the effects of mental well-being on exposure to nature-inspired visual aesthetics but also enables a methodical exploration of the study of biophilia and biophilic artwork for aesthetic preferences. using the proposed algorithms, we have also created a gallery of biophilic collections comprising famous artworks from different european and american art galleries, which will soon be published on the vieunite@ online community.",2024-03-08
"16","splattingavatar: realistic real-time human avatars with mesh-embedded gaussian splatting","zhijing shao, zhaolong wang, zhuang li, duotun wang, xiangru lin, yu zhang, mingming fan, zeyu wang","graphics","we present splattingavatar, a hybrid 3d representation of photorealistic human avatars with gaussian splatting embedded on a triangle mesh, which renders over 300 fps on a modern gpu and 30 fps on a mobile device. we disentangle the motion and appearance of a virtual human with explicit mesh geometry and implicit appearance modeling with gaussian splatting. the gaussians are defined by barycentric coordinates and displacement on a triangle mesh as phong surfaces. we extend lifted optimization to simultaneously optimize the parameters of the gaussians while walking on the triangle mesh. splattingavatar is a hybrid representation of virtual humans where the mesh represents low-frequency motion and surface deformation, while the gaussians take over the high-frequency geometry and detailed appearance. unlike existing deformation methods that rely on an mlp-based linear blend skinning (lbs) field for motion, we control the rotation and translation of the gaussians directly by mesh, which empowers its compatibility with various animation techniques, e.g., skeletal animation, blend shapes, and mesh editing. trainable from monocular videos for both full-body and head avatars, splattingavatar shows state-of-the-art rendering quality across multiple datasets.",2024-03-08
"17","learning agility adaptation for flight in clutter","guangyu zhao, tianyue wu, yeke chen, fei gao","robotics","animals learn to adapt agility of their movements to their capabilities and the environment they operate in. mobile robots should also demonstrate this ability to combine agility and safety. the aim of this work is to endow flight vehicles with the ability of agility adaptation in prior unknown and partially observable cluttered environments. we propose a hierarchical learning and planning framework where we utilize both trial and error to comprehensively learn an agility policy with the vehicle's observation as the input, and well-established methods of model-based trajectory generation. technically, we use online model-free reinforcement learning and a pre-training-fine-tuning reward scheme to obtain the deployable policy. the statistical results in simulation demonstrate the advantages of our method over the constant agility baselines and an alternative method in terms of flight efficiency and safety. in particular, the policy leads to intelligent behaviors, such as perception awareness, which distinguish it from other approaches. by deploying the policy to hardware, we verify that these advantages can be brought to the real world.",2024-03-07
"18","video-driven animation of neural head avatars","wolfgang paier, paul hinzer, anna hilsmann, peter eisert","computer vision and pattern recognition","we present a new approach for video-driven animation of high-quality neural 3d head models, addressing the challenge of person-independent animation from video input. typically, high-quality generative models are learned for specific individuals from multi-view video footage, resulting in person-specific latent representations that drive the generation process. in order to achieve person-independent animation from video input, we introduce an lstm-based animation network capable of translating person-independent expression features into personalized animation parameters of person-specific 3d head models. our approach combines the advantages of personalized head models (high quality and realism) with the convenience of video-driven animation employing multi-person facial performance capture. we demonstrate the effectiveness of our approach on synthesized animations with high quality based on different source videos as well as an ablation study.",2024-03-07
"19","nrdf: neural riemannian distance fields for learning articulated pose priors","yannan he, garvita tiwari, tolga birdal, jan eric lenssen, gerard pons-moll","computer vision and pattern recognition","faithfully modeling the space of articulations is a crucial task that allows recovery and generation of realistic poses, and remains a notorious challenge. to this end, we introduce neural riemannian distance fields (nrdfs), data-driven priors modeling the space of plausible articulations, represented as the zero-level-set of a neural field in a high-dimensional product-quaternion space. to train nrdfs only on positive examples, we introduce a new sampling algorithm, ensuring that the geodesic distances follow a desired distribution, yielding a principled distance field learning paradigm. we then devise a projection algorithm to map any random pose onto the level-set by an adaptive-step riemannian optimizer, adhering to the product manifold of joint rotations at all times. nrdfs can compute the riemannian gradient via backpropagation and by mathematical analogy, are related to riemannian flow matching, a recent generative model. we conduct a comprehensive evaluation of nrdf against other pose priors in various downstream tasks, i.e., pose generation, image-based pose estimation, and solving inverse kinematics, highlighting nrdf's superior performance. besides humans, nrdf's versatility extends to hand and animal poses, as it can effectively represent any articulation.",2024-03-05
"20","implicit-explicit simulation of mass-spring-charge systems","zhiyuan zhang, zhaocheng liu, stefanos papanicolopulos, kartic subr","graphics","point masses connected by springs, or mass-spring systems, are widely used in computer animation to approximate the behavior of deformable objects. one of the restrictions imposed by these models is that points that are not topologically constrained (linked by a spring) are unable to interact with each other explicitly. such interactions would introduce a new dimension for artistic control and animation within the computer graphics community. beyond graphics, such a model could be an effective proxy to use for model-based learning of complex physical systems such as molecular biology. we propose to imbue masses in a mass-spring system with electrostatic charge leading a system with internal forces between all pairs of charged points -- regardless of whether they are linked by a spring. we provide a practical and stable algorithm to simulate charged mass-spring systems over long time horizons. we demonstrate how these systems may be controlled via parameters such as guidance electric fields or external charges, thus presenting fresh opportunities for artistic authoring. our method is especially appropriate for computer graphics applications due to its robustness at larger simulation time steps.",2024-03-05
"21","tuning-free noise rectification for high fidelity image-to-video generation","weijie li, litong gong, yiran zhu, fanda fan, biao wang, tiezheng ge, bo zheng","computer vision and pattern recognition","image-to-video (i2v) generation tasks always suffer from keeping high fidelity in the open domains. traditional image animation techniques primarily focus on specific domains such as faces or human poses, making them difficult to generalize to open domains. several recent i2v frameworks based on diffusion models can generate dynamic content for open domain images but fail to maintain fidelity. we found that two main factors of low fidelity are the loss of image details and the noise prediction biases during the denoising process. to this end, we propose an effective method that can be applied to mainstream video diffusion models. this method achieves high fidelity based on supplementing more precise image information and noise rectification. specifically, given a specified image, our method first adds noise to the input image latent to keep more details, then denoises the noisy latent with proper rectification to alleviate the noise prediction biases. our method is tuning-free and plug-and-play. the experimental results demonstrate the effectiveness of our approach in improving the fidelity of generated videos. for more image-to-video generated results, please refer to the project website: this https url.",2024-03-05
"22","bootstrapping rare object detection in high-resolution satellite imagery","akram zaytar, caleb robinson, gilles q. hacheme, girmaw a. tadesse, rahul dodhia, juan m. lavista ferres, lacey f. hughey, jared a. stabach, irene amoke","computer vision and pattern recognition","rare object detection is a fundamental task in applied geospatial machine learning, however is often challenging due to large amounts of high-resolution satellite or aerial imagery and few or no labeled positive samples to start with. this paper addresses the problem of bootstrapping such a rare object detection task assuming there is no labeled data and no spatial prior over the area of interest. we propose novel offline and online cluster-based approaches for sampling patches that are significantly more efficient, in terms of exposing positive samples to a human annotator, than random sampling. we apply our methods for identifying bomas, or small enclosures for herd animals, in the serengeti mara region of kenya and tanzania. we demonstrate a significant enhancement in detection efficiency, achieving a positive sampling rate increase from 2% (random) to 30%. this advancement enables effective machine learning mapping even with minimal labeling budgets, exemplified by an f1 score on the boma detection task of 0.51 with a budget of 300 total patches.",2024-03-05
"23","semantic human mesh reconstruction with textures","xiaoyu zhan, jianxin yang, yuanqi li, jie guo, yanwen guo, wenping wang","computer vision and pattern recognition","the field of 3d detailed human mesh reconstruction has made significant progress in recent years. however, current methods still face challenges when used in industrial applications due to unstable results, low-quality meshes, and a lack of uv unwrapping and skinning weights. in this paper, we present shert, a novel pipeline that can reconstruct semantic human meshes with textures and high-precision details. shert applies semantic- and normal-based sampling between the detailed surface (eg mesh and sdf) and the corresponding smpl-x model to obtain a partially sampled semantic mesh and then generates the complete semantic mesh by our specifically designed self-supervised completion and refinement networks. using the complete semantic mesh as a basis, we employ a texture diffusion model to create human textures that are driven by both images and texts. our reconstructed meshes have stable uv unwrapping, high-quality triangle meshes, and consistent semantic information. the given smpl-x model provides semantic information and shape priors, allowing shert to perform well even with incorrect and incomplete inputs. the semantic information also makes it easy to substitute and animate different body parts such as the face, body, and hands. quantitative and qualitative experiments demonstrate that shert is capable of producing high-fidelity and robust semantic meshes that outperform state-of-the-art methods.",2024-03-05
"24","addressing long-tail noisy label learning problems: a two-stage solution with label refurbishment considering label rarity","ying-hsuan wu, jun-wei hsieh, li xin, shin-you teng, yi-kuan hsieh, ming-ching chang","machine learning","real-world datasets commonly exhibit noisy labels and class imbalance, such as long-tailed distributions. while previous research addresses this issue by differentiating noisy and clean samples, reliance on information from predictions based on noisy long-tailed data introduces potential errors. to overcome the limitations of prior works, we introduce an effective two-stage approach by combining soft-label refurbishing with multi-expert ensemble learning. in the first stage of robust soft label refurbishing, we acquire unbiased features through contrastive learning, making preliminary predictions using a classifier trained with a carefully designed balanced noise-tolerant cross-entropy (banc) loss. in the second stage, our label refurbishment method is applied to obtain soft labels for multi-expert ensemble learning, providing a principled solution to the long-tail noisy label problem. experiments conducted across multiple benchmarks validate the superiority of our approach, label refurbishment considering label rarity (lr^2), achieving remarkable accuracies of 94.19% and 77.05% on simulated noisy cifar-10 and cifar-100 long-tail datasets, as well as 77.74% and 81.40% on real-noise long-tail datasets, food-101n and animal-10n, surpassing existing state-of-the-art methods.",2024-03-04
"25","fluid ejections in nature","elio j. challita, pankaj rohilla, m. saad bhamla","quantitative methods","from microscopic fungi to colossal whales, fluidic ejections are a universal and intricate phenomenon in biology, serving vital functions such as animal excretion, venom spraying, prey hunting, spore dispersal, and plant guttation. this review delves into the complex fluid physics of ejections across various scales, exploring both muscle-powered active systems and passive mechanisms driven by gravity or osmosis. we introduce a framework using dimensionless numbers to delineate transitions from dripping to jetting and elucidate the governing forces. highlighting the understudied area of complex fluid ejections, this work not only rationalizes the biophysics involved but also uncovers potential engineering applications in soft robotics, additive manufacturing, and drug delivery. by bridging biomechanics, the physics of living systems, and fluid dynamics, this review offers valuable insights into the diverse world of fluid ejections and paves the way for future bioinspired research across the spectrum of life.",2024-03-04
"26","piet: facilitating color authoring for motion graphics video","xinyu shi, yinghou wang, yun wang, jian zhao","human-computer interaction","motion graphic (mg) videos are effective and compelling for presenting complex concepts through animated visuals; and colors are important to convey desired emotions, maintain visual continuity, and signal narrative transitions. however, current video color authoring workflows are fragmented, lacking contextual previews, hindering rapid theme adjustments, and not aligning with progressive authoring flows of designers. to bridge this gap, we introduce piet, the first tool tailored for mg video color authoring. piet features an interactive palette to visually represent color distributions, support controllable focus levels, and enable quick theme probing via grouped color shifts. we interviewed 6 domain experts to identify the frustrations in current tools and inform the design of piet. an in-lab user study with 13 expert designers showed that piet effectively simplified the mg video color authoring and reduced the friction in creative color theme exploration.",2024-03-04
"27","an efficient model-based approach on learning agile motor skills without reinforcement","haojie shi, tingguang li, qingxu zhu, jiapeng sheng, lei han, max q.-h. meng","robotics","learning-based methods have improved locomotion skills of quadruped robots through deep reinforcement learning. however, the sim-to-real gap and low sample efficiency still limit the skill transfer. to address this issue, we propose an efficient model-based learning framework that combines a world model with a policy network. we train a differentiable world model to predict future states and use it to directly supervise a variational autoencoder (vae)-based policy network to imitate real animal behaviors. this significantly reduces the need for real interaction data and allows for rapid policy updates. we also develop a high-level network to track diverse commands and trajectories. our simulated results show a tenfold sample efficiency increase compared to reinforcement learning methods such as ppo. in real-world testing, our policy achieves proficient command-following performance with only a two-minute data collection period and generalizes well to new speeds and paths.",2024-03-04
"28","facechain-imagineid: freely crafting high-fidelity diverse talking faces from disentangled audio","chao xu, yang liu, jiazheng xing, weida wang, mingze sun, jun dan, tianxin huang, siyuan li, zhi-qi cheng, ying tai, baigui sun","computer vision and pattern recognition","in this paper, we abstract the process of people hearing speech, extracting meaningful cues, and creating various dynamically audio-consistent talking faces, termed listening and imagining, into the task of high-fidelity diverse talking faces generation from a single audio. specifically, it involves two critical challenges: one is to effectively decouple identity, content, and emotion from entangled audio, and the other is to maintain intra-video diversity and inter-video consistency. to tackle the issues, we first dig out the intricate relationships among facial factors and simplify the decoupling process, tailoring a progressive audio disentanglement for accurate facial geometry and semantics learning, where each stage incorporates a customized training module responsible for a specific factor. secondly, to achieve visually diverse and audio-synchronized animation solely from input audio within a single model, we introduce the controllable coherent frame generation, which involves the flexible integration of three trainable adapters with frozen latent diffusion models (ldms) to focus on maintaining facial geometry and semantics, as well as texture and temporal coherence between frames. in this way, we inherit high-quality diverse generation from ldms while significantly improving their controllability at a low training cost. extensive experiments demonstrate the flexibility and effectiveness of our method in handling this paradigm. the codes will be released at this https url.",2024-03-04
"29","apisr: anime production inspired real-world anime super-resolution","boyang wang, fengyu yang, xihang yu, chao zhang, hanbin zhao","image and video processing","while real-world anime super-resolution (sr) has gained increasing attention in the sr community, existing methods still adopt techniques from the photorealistic domain. in this paper, we analyze the anime production workflow and rethink how to use characteristics of it for the sake of the real-world anime sr. first, we argue that video networks and datasets are not necessary for anime sr due to the repetition use of hand-drawing frames. instead, we propose an anime image collection pipeline by choosing the least compressed and the most informative frames from the video sources. based on this pipeline, we introduce the anime production-oriented image (api) dataset. in addition, we identify two anime-specific challenges of distorted and faint hand-drawn lines and unwanted color artifacts. we address the first issue by introducing a prediction-oriented compression module in the image degradation model and a pseudo-ground truth preparation with enhanced hand-drawn lines. in addition, we introduce the balanced twin perceptual loss combining both anime and photorealistic high-level features to mitigate unwanted color artifacts and increase visual clarity. we evaluate our method through extensive experiments on the public benchmark, showing our method outperforms state-of-the-art approaches by a large margin.",2024-03-03
"30","the case for animal-friendly ai","sankalpa ghose, yip fai tse, kasra rasaee, jeff sebo, peter singer","artificial intelligence","artificial intelligence is seen as increasingly important, and potentially profoundly so, but the fields of ai ethics and ai engineering have not fully recognized that these technologies, including large language models (llms), will have massive impacts on animals. we argue that this impact matters, because animals matter morally.
as a first experiment in evaluating animal consideration in llms, we constructed a proof-of-concept evaluation system, which assesses llm responses and biases from multiple perspectives. this system evaluates llm outputs by two criteria: their truthfulness, and the degree of consideration they give to the interests of animals. we tested openai chatgpt 4 and anthropic claude 2.1 using a set of structured queries and predefined normative perspectives. preliminary results suggest that the outcomes of the tested models can be benchmarked regarding the consideration they give to animals, and that generated positions and biases might be addressed and mitigated with more developed and validated systems.
our research contributes one possible approach to integrating animal ethics in ai, opening pathways for future studies and practical applications in various fields, including education, public policy, and regulation, that involve or relate to animals and society. overall, this study serves as a step towards more useful and responsible ai systems that better recognize and respect the vital interests and perspectives of all sentient beings.",2024-03-02
