"","prod_name","title","reviewer","review","date","ratings","type_of_purchase"
"34","automet womens 2 piece outfits lounge matching sets two piece linen shorts crop tops 2023 trendy clothes summer vacation set","cute set","michelle staich","cute set and thin material is perfect for the summer",2023-04-01,1,"verified purchase"
"35","automet womens 2 piece outfits lounge matching sets two piece linen shorts crop tops 2023 trendy clothes summer vacation set","beautiful but shrinks like crazy","djstuart","this is a beautiful set just plan ahead for the big shrink that happensthe photos the cream one is a size large it wouldve been the perfect size asis but i read the reviews about shrinking so i ordered the black in a size xl im not at a place in my life mom of young kids where i can air dry things  so i knew it would have to adapt to going through the washer and dryer not ideal but i wanted to see if it could hold upthe photos with the black are postdrying it shrunk to probably a medium its shorter shorts and more cropped than id like but its honestly fineit seems like great quality the waistband has a lot of give even with the side zipper  im small busted so the top works well for mefor the price im pleased",2023-07-25,5,"verified purchase"
"36","automet womens 2 piece outfits lounge matching sets two piece linen shorts crop tops 2023 trendy clothes summer vacation set","recommend with a few caveats","jenn h","im a pretty basic medium maybe a small in some things i got a m in this and i wish i could have gotten a large in the pants and a small in the top the tops arm holes are pretty big which means my bra is visible under the arms the pants even though they stretch at the back singe are still a little tight im keeping it because neither of those things are bad enough to send back the color is gorgeous the material is nice i would recommend this unless youre a very different size on topbottom then i think it might be a hard to find the right fitsize",2023-07-14,4,"verified purchase"
"37","automet womens 2 piece outfits lounge matching sets two piece linen shorts crop tops 2023 trendy clothes summer vacation set","versatile outfit","amazon customer","i ordered this two piece outfit for my honeymoon i absolutely loved it i really liked that since it was a piece set i could wear the shirt with different bottoms and the bottoms with a different top the top is true to size and has a comfortable amount of stretch the shorts are the reason this didnt get  stars the shorts close with a side zipper and dont have much stretch so its a little difficult to close however once you get them closed they are comfortable you just have to yank it a little bit first",2023-03-10,5,"verified purchase"
"38","automet womens 2 piece outfits lounge matching sets two piece linen shorts crop tops 2023 trendy clothes summer vacation set","sizing is not as stated very small medium fit my grandaughter who is a size  xsmall","amazon customer","nice set looking forward to receive and was disappointed it was so small glad my grandaughter liked it and fit her perfectly  she is a size xsmall i am size  medium",2023-06-20,4,"verified purchase"
"39","automet womens 2 piece outfits lounge matching sets two piece linen shorts crop tops 2023 trendy clothes summer vacation set","cute yet zipper problem","jesshaymaker","so the style is really cute and comfort except the zipper i do not have a flat stomach nor flat breast i first attempted to just zip it up but after i caught my side skin in the zipper i looked at it and held it away from my skin ouch had to hold down my breast to see zipper not do that again but to unzip it i had to look again to get it down little difficult little frustrated thank goodness i did not have to urgently pee i did not think im that far off from the normal shape women",2023-07-17,4,"verified purchase"
"40","automet womens 2 piece outfits lounge matching sets two piece linen shorts crop tops 2023 trendy clothes summer vacation set","inconsistent sizing  too s and too l","erika genova","i purchased two of each size as ive learned through experience from china  i kept the pink m peach m red s green s  one has to order two sizes and i should say the peach shorts came with a broken zipper the others did not thank goodness  the zipper is not needed in these shorts in sizes s or m  overall i love the price styling and comfort of this twopiece shorts outfit",2023-08-20,4,"verified purchase"
"41","automet womens 2 piece outfits lounge matching sets two piece linen shorts crop tops 2023 trendy clothes summer vacation set","perfect but shrinks","allison mace","this set was absolutely perfect to wear during summer walking around in mexico it was cute but breathable and very comfortable",2024-02-08,3,"verified purchase"
"42","automet womens 2 piece outfits lounge matching sets two piece linen shorts crop tops 2023 trendy clothes summer vacation set","nice set but hard to size","dutchy","i had originally ordered a size small in this and it shrunk like crazy in the wash  even with cold water and air drying it so i overcompensated i guess by buying a large but the cut was wayyy to big so i messed up again im normally an xss but apparently for this product am an m   lbs petite build for reference material feels nice but is not stretchy except at the waistband where theres an elastic band cute set if you can pick the right size",2024-02-26,5,"verified purchase"
"43","automet womens 2 piece outfits lounge matching sets two piece linen shorts crop tops 2023 trendy clothes summer vacation set","great pair","jordan m","i love that i look puttogether without even trying in this two piece outfit it fits pretty well the only issue is that sometimes the band is a little tight everything else fits perfectly my favorite part is that it is not at all seethrough definitely a great outfit that is true to size and true to color",2023-10-26,1,"verified purchase"
"44","automet womens 2 piece outfits lounge matching sets two piece linen shorts crop tops 2023 trendy clothes summer vacation set","i wanna give this  stars","amazon customer","i loved this and wore it multiple times since i bought it a couple months ago but its already started to lose its color just straight going from green to white",2023-06-08,4,"verified purchase"
"45","automet womens 2 piece outfits lounge matching sets two piece linen shorts crop tops 2023 trendy clothes summer vacation set","not as disturbed","elizabeth roberts","i ordered an xl and it looked even smaller than a medium too small and quality aint all that will be returning",2023-08-24,4,"verified purchase"
"46","automet womens 2 piece outfits lounge matching sets two piece linen shorts crop tops 2023 trendy clothes summer vacation set","beware cute but shrinks","torey bennett","i loved this set i got a large and it fit perfectly loose fit not too short comfy and cute but i machine washed cold and hung dry as the tag directed and both pieces shrank now the shirt is a crop top and the shorts still fit but are shorter than i wanted super bummed",2023-11-20,4,"verified purchase"
"47","automet womens 2 piece outfits lounge matching sets two piece linen shorts crop tops 2023 trendy clothes summer vacation set","not  linen","amazon customer","i bought this because it said it was linen only  is linen the rest is rayon i like natural fabrics that breathe in hot weatherthe top is skimpy and short like a crop top which i would like better if it were longeroverall nice fit design qualityim getting on other colorsgood buywish the top was longer though",2023-07-04,3,"verified purchase"
"48","automet womens 2 piece outfits lounge matching sets two piece linen shorts crop tops 2023 trendy clothes summer vacation set","cute but runs big","dylan","i was conflicted if i like it or not it runs big the top fit me perfect but the bottom was a bit large i ended up keeping it because it still looked cute and it was on a limited deal",2023-07-20,3,"verified purchase"
"49","automet womens 2 piece outfits lounge matching sets two piece linen shorts crop tops 2023 trendy clothes summer vacation set","be careful in the wash","kitzia nin poniatowska","i love this but it shrunk a little when washing i dozed up and it justtttt fit just read carefully for sizing i would size up if you have issues with midsection like i dobut overall great purchase i have bought already more in other colors",2023-06-11,4,"verified purchase"
"50","automet womens 2 piece outfits lounge matching sets two piece linen shorts crop tops 2023 trendy clothes summer vacation set","almost but not","kitzia nin poniatowska","the top was a too short for me",2023-08-18,4,"verified purchase"
"51","aurola","me encantaron","tt","the shorts are well fitted with a tight waistband to cinch the waist the material is super soft and comfortable would recommend",2023-07-30,4,"verified purchase"
"52","aurola","best shorts ever","shorts are okay ","lowkey shouldnt have sized down but still happy with them",2023-11-09,5,"verified purchase"
"53","aurola",NA,"tt","the fabric is quite thick butt scrunch does the job perfectly and love this colour",2023-07-30,3,"verified purchase"
"54","aurola",NA,"lucy","amazing quality so comfortable and cute but unfortunately they do ride up apart from that ive had no problems im ft around kg and got a medium fits perfect ",2023-11-13,5,"verified purchase"
"55","aurola",NA,"sunny","the pant is true to the size perfect for my need and highly recommended this seller",2023-08-28,5,"verified purchase"
"56","aurola",NA,"aimee","fabric is nice and soft fits wellonly downside is the waist and legs rolls downup during work out so hesitant to wear themconsidering they were  id expect them to somewhat stay in placei got a size l  i am  and  kgs",2023-08-14,5,"verified purchase"
"57","aurola",NA,"dewi blythe","the first time i wore these the seem holding the waistband came undone its gotten worse since disappointed in the quality given the price",2023-05-06,4,"verified purchase"
"58","aurola",NA,"shorts are okay ","was hesitant to buy these shorts but im so glad i did the material is smooth and nice and fits so well on my body squat proof for me  i was in between xs and s and got a s",2023-11-09,5,"verified purchase"
"59","aurola",NA,"dianne page","sper cmodos los recomiendo mucho sin duda los volver a comprar son de buena calidad y nicos",2024-01-24,3,"verified purchase"
"60","aurola",NA,"dianne page","ive been on the hunt for the ideal pair of gym shorts and ive finally found them with these womens gym shorts these shorts have become an essential part of my workout wardrobe and i cant say enough good things about themfirst and foremost these shorts are incredibly comfortable the fabric is soft and stretchy which makes them perfect for all types of workouts from intense hiit sessions to yoga and everything in between they move with me allowing for a full range of motion without any restrictionsone of the standout features for me is the moisturewicking technology i tend to work up a sweat during my workouts and these shorts do an excellent job of keeping me dry and comfortable i never have to worry about feeling sticky or uncomfortable no matter how intense my workout getsthe fit is just right these shorts are snug enough to stay in place during runs and squats but not so tight that they feel constricting the waistband is comfortable and doesnt dig in which is a huge plus plus they come in various lengths and styles so you can find the perfect fit for your body type and personal preferencei also appreciate the stylish design these shorts look great both in the gym and for casual wear the color options are trendy and the quality is evident even after several washes they still look as good as newthe durability of these shorts is impressive they have held up well to frequent wear and washing showing no signs of wear and tear this longevity is a testament to their qualityin summary these womens gym shorts are a fantastic addition to any workout wardrobe they strike the perfect balance between comfort performance and style i highly recommend them to anyone looking for shorts that can keep up with their active lifestyle these shorts have truly become a gamechanger in my fitness routine",2023-06-23,3,NA
"61","aurola","great dfyne dupe","tt"," lbs and got a medium couldve gone small because the thighs arent super compressed like dfyne theyre a buttery soft material and move with you super cute dont have a great pic lol",2023-07-30,4,"verified purchase"
"62","aurola","terrible quality in color red","shorts are okay ","i bought the brown color in exactly same tights a fee months ago this red one i just received is far from that brown ones quality see through and rolling up towards my crotch while walking even horrible will need ti return this unfortunately",2023-11-09,5,"verified purchase"
"63","aurola","great quality and fit","emily knecht","ive been looking for a good gym short that is flattering and fits comfortably and this is the best one hands down the material is thick so you dont have to worry about anything being see through theres no front seam which alleviates the concern about unflattering front appearance the material is soft and smooth the detail on the back is flattering and comfortable unlike some shorts ive tried that have way too much of a scrunch and the way its shaped is uncomfortable definitely worth the purchase and ive bought many",2024-02-23,3,"verified purchase"
"64","aurola","blick dicht","emily knecht","super leggings man sieht nichts durch und der scrunch ist auch nicht strend ich trage eigentlich xs wegen meiner taille aber weil ich an den beinen erwss dicker bin habe ich s genommen und das passt perfekt der stoff kratzt nicht es ist super bequem",2023-12-27,5,"verified purchase"
"65","aurola","it passed the vibe check","melis basaraner","the fit comfort color she is the moment i went with a size small and it worked out they make my legs and butt look so good they do ride up a tiny bit here and there but i dont mind tbh i just tug down in between sets i recommend the buy theyre popular for a reason",2023-12-01,5,"verified purchase"
"66","aurola","aurola me ve la cara","anna","la calidad es excelente en vdd los amo pero lo ped en xs y me quedo pequeo por lo que lo ped en chico y al llegarme me di cuenta que me quedaba pequeo lo compr con el xs y es el mismo me parece muy mala jugada de su parte solo la bolsa dice otra medida pero es mentira",2023-02-03,1,"verified purchase"
"67","aurola","leider nach  monate scrunch whrend des trainings gerissen","zehra camlitepe","zuerst war ich sehr zufrieden mit der kurzen hose und habe sogar ein anderes modell derselben marke bestelltleider ist nach  monaten nutzung die naht des scrunch am po im gym gerissen sodass ich mein training abbrechen und nach hause gehen musstefr diesen preis habe ich definitiv eine lngere haltbarkeit erwartet",2024-02-21,5,"verified purchase"
"68","aurola","cmodo","daisy salvatierra","lo ame la tela no transparenta nada es super cmodo la talla quedo perfecto a mi cuerpo no tiene tanta costura como algunos otros volvera a pedir ms",2023-10-04,5,"verified purchase"
"69","aurola","i loved it","daisy salvatierra","this shorts is so good theyre very comfortable and the size is accurate totally squat proof and i really recommend it ",2023-07-26,5,"verified purchase"
"70","aurola","bequem und blickdicht","shirley","squatproof und bequem",2024-01-24,5,"verified purchase"
"71","aurola","comfy flattering and perfect for gym","tt","i am  lbs  and usually wear a size  pant size or  at lululemon i ordered a size large because i hate when the band rolls over they are perfect love the color and they seem squat proof you do not get the dramatic butt scrunch but they are very flattering i like them better than my nvgtn and alphalete shorts just ordered another pair",2023-07-30,4,"verified purchase"
"72","aurola","bello","shorts are okay ","tela de calidad y gran ajuste al cuerpo que hace que te sientas cmoda",2023-11-09,5,"verified purchase"
"73","aurola","best shorts ever","carly","my fav gym shorts the price is really good and they fit like a glove i own  pairs in different colors and they make your bum look phenomenal only thing is that every color i ordered is not exactly the same as shown in the pictures but they are still cute",2024-01-01,3,"verified purchase"
"74","aurola","lieblings gym shorts","carly","grempasst perfektblickdichtsieht super auswrde sie auch in anderen farben kaufen auch wenn sie relativ teuer sind",2023-02-17,5,"verified purchase"
"75","aurola","favourite","esperanza guadalupe cervantes hernndez","i own so many of them love it",2022-09-26,5,"verified purchase"
"76","aurola","good fit","client damazon","comfy good material  nice fit great for the gym",2024-02-06,5,"verified purchase"
"77","aurola","muybien","jennifer","buena calidad",2024-02-14,5,"verified purchase"
"78","aurola","good affordable gym shorts","jennifer","decided to give these a try since i had several friends recommend buying amazon brands these turned out really cute and comfortable they are true to size with stretch the only thing i didnt care for was the wear after only a couple washes i noticed fuzz forming around the butt area but there wasnt any visible thinning either so i dont know what caused it but overall the shorts were a good buy for the price",2024-01-26,5,"verified purchase"
"79","aurola","perfectos","cassandra b","quedan sper bonitos la tela muy buena y cmoda no se transparenta nada son la copia exacta de los alphalate",2023-06-07,5,"verified purchase"
"80","aurola","nice","true north cane corso  marika","as promised",2023-12-20,5,"verified purchase"
"81","aurola","not squat proof","tt","i got a size medium in the light purple colour and they were not squat proof i bent over with a dark thong and you could even see my skin through them gonna size up and see if that solves the issue cause i love the colour but i know they will end up too big for reference im normally a size  sometimes  in lulu alignsthey were super soft though",2023-07-30,4,"verified purchase"
"82","aurola","short ajustado para gimnasio","shorts are okay ","muy buen material",2023-11-09,5,"verified purchase"
"83","aurola","se trasparenta no me gusto para nada","brooke m","en realidad se trasparenta compre el color rosa y no fue de mi agrado por el precio esperaba algo mucho mucho mejor",2023-03-02,3,"verified purchase"
"84","aurola","not for my fit","viviana antuna","i truly liked these and wanted them to work they are nice my pair had stitches in tact soft material my problem was the fit i am  lbs  hips and usually wear a size  and sometimes size  in pants my workout leggings are usually a medium but sometimes a large this large was too tight in all cracks that i deem not necessary to show off maybe an xlarge might feel better and look better on me since this was not a necessary purchase for me i didnt go for the size up i returned",2022-04-28,2,"verified purchase"
"85","aurola","poorly stitched","vernica","there was no problem with this item upon receiving  they were true to size and comfortable  i wore them to the gym twice and was happy with this purchase until i put them on one day and the stitching in the derriere completely came apart  they had only been washed a couple of times as they were only worn  times  very disappointed i do not recommend this product unfortunately",2023-03-26,5,"verified purchase"
"86","aurola","perfection","ms v in md","ive tried a few different aurola shorts and the dream collection is by far my favorite the material is so soft and comfortable i found them to be squatproof on me with a nude thong  they make the booty pop also this lilac color is an exact dupe for the alphalete digital violet i had both and ended up returning my alphalete because i like the material on these shorts better",2024-01-09,1,"verified purchase"
"87","aurola","awesome shorts","charlie","these are my favorite shorts that i own for leg workouts they are very flattering and the quality is top notch i have a lovehate relationship with butt scrunch leggings what i like about them is the practical aspect this is going to sound weird lol but its like each butt cheek is separately secured so when you do squats it doesnt feel like there is near as much stress being placed on the centerback seam of the material that goes over your butt this also means that the material itself stretches less meaning less chance of the material being seethroughi do not like butt scrunch leggings for the showing off your butt idea i dont want that kind of attention when i go to the gym this is precisely why i like these shorts as much as i do they have the most discreet butt scrunch that i have tried enough to be practical and a little flattering without giving off look at me vibes i would still only buy them in black or a very dark color like navy because the lighterbrighter colors would still have more of a showoff effect than what i am comfortable withsome people are complaining about the length of the shorts yes i agree that they are definitely longer than the picture makes them look but i personally way prefer the biker short length no rolling up or having to adjust anything midexercise",2023-02-19,3,"verified purchase"
"88","aurola","great quality product","jessie d","i really love this product for the price  its super flattering but slightly sheer ie not quite squat proof this is to be expected with the price though i will definitely be repurchasing for more colours i might size up though  it is a bit tight around the midsection",2023-01-10,1,"verified purchase"
"89","aurola","buy them","jessie d","not see through super comfortable material the perfect amount of waist compression without giving you an odd pooch buy them im  and weigh lbs the smalls fit great the mediums are a bit big on me but i kept them for days im feeling bloated",2024-01-11,5,"verified purchase"
"90","aurola","gerne wieder","amazon customer","sehr wertig schne farbe sehr gute verarbeitung",2023-07-13,5,"verified purchase"
"91","aurola","not for thicc girls","tt","i wanted to love these sooo much i like the feel of the fabric and it does give the glutes a nice lift but the band has a ton of compression and the main part of the bottom really doesnt so it gave me some crazy hip dips i have small dips but theyre usually not noticeable in most shorts and these just drew attention to them in the worst way the uneven compression just caused everything to roll out of place as soon as i started moving after  squat the shorts had given me so many new stomach rolls i could have opened a bakery if you dont have much to compress theyll probably be fine if youre curvymuscular you might look for something with more even compression all around returning these and trying the power version to see if those have better structure than the dream ones",2023-07-30,4,"verified purchase"
"92","aurola","these shorts dont mess around honey","shorts are okay ","i found out about these shorts because id been seeing all these girls at the gym wearing them in various colors so i decided to order some and honey these shorts dont play thickso not see through they suck ya in in the waist theyre a nice length and i didnt realize they have the little scrunch in the back for your booty but its small scrunch and an added flare",2023-11-09,5,"verified purchase"
"93","aurola","gyat","amazon customer","makes the butt look amazeeee quality material squat proof waist snatching obviously the scrunch looks great but also a little short and if u dont keep adjusting they do go alllll the way up ass which isnt my fav",2024-01-08,3,"verified purchase"
"94","aurola","great shorts","rose sousa","fit great squat proof they will ride up but i dont have any shorts like this that dont",2024-02-19,4,"verified purchase"
"95","aurola","wear if you wanna looked cheeked up","mfs","so flattering and soft def squat proof if you want to look extra cheeky make sure to pull the extra fabric up to contour the peach",2024-02-10,5,"verified purchase"
"96","aurola","amazing ","kayla flanagan","i never actually write reviews but these deserve it i could never find any good gym shorts bc they would either ride up or id constantly readjust and i do neither in these they are so comfy i can genuinely move around without worrying about toe or it moving around",2024-02-20,4,"verified purchase"
"97","aurola","wowzers worth the hype and money","andrea  halsted","i heard about these shorts through tiktok and at first i was hesitant in getting it because it is expensive to buy however after reading other reviews i thought to myself why not buy it and see if i like them or not to my surprise i actually do like the shorts very much the material is very well made it doesnt rise up when i walk or run and it is very comfortable to wear out of all the gym shorts i bought this product is the best one will order another pair of shorts very soon",2024-02-20,4,"verified purchase"
"98","aurola","comfy shorts","isabella donham","this color is adorable and these are buttery soft ill be ordering more",2024-02-04,5,"verified purchase"
"99","aurola","shorts","panhia","these are adorable and had thousands of amazing reviews i too recommend cute and comfy only thing if you care they are see through",2024-01-12,5,"verified purchase"
